;SIRET;APP_Libelle_activite_etablissement
584;8,01716E+13;Alimentation générale
585;8,14399E+13;Restaurant
586;8,09964E+13;Restaurant
587;8,01768E+13;Boulangerie-Pâtisserie
588;8,14567E+13;Boulangerie-Pâtisserie
589;8,09985E+13;Boulangerie-Pâtisserie
590;8,02956E+13;_
591;8,14841E+13;Restaurant
592;8,10154E+13;Restaurant
593;8,03045E+13;Boulangerie-Pâtisserie
594;8,1495E+13;Boulangerie-Pâtisserie
595;8,10168E+13;Boulangerie-Pâtisserie
596;8,03109E+13;Restaurant
597;8,1497E+13;Alimentation générale
598;8,10347E+13;Restaurant
599;8,03989E+13;Boucherie-Charcuterie
600;8,14995E+13;_
601;8,10408E+13;_
602;8,04249E+13;Boulangerie-Pâtisserie
603;8,15154E+13;Restaurant
604;8,11131E+13;Alimentation générale
605;8,04277E+13;Restaurant
606;8,15158E+13;Boulangerie-Pâtisserie
607;8,11804E+13;Alimentation générale
608;8,04618E+13;_
609;8,17826E+13;Boulangerie-Pâtisserie
610;8,12204E+13;Restaurant
611;8,0483E+13;Restaurant
612;8,18417E+13;Alimentation générale
613;8,12246E+13;Boucherie-Charcuterie
614;8,04921E+13;Restaurant
615;8,185E+13;Alimentation générale
616;8,12328E+13;Boulangerie-Pâtisserie
617;8,0524E+13;Restaurant
618;8,18789E+13;Restaurant
619;8,12441E+13;Boulangerie-Pâtisserie
620;8,07823E+13;Restaurant
621;8,19193E+13;Boulangerie-Pâtisserie
622;8,12826E+13;Boulangerie-Pâtisserie
623;8,07912E+13;Alimentation générale
624;8,20403E+13;Restaurant
625;8,13076E+13;Restaurant
626;8,0818E+13;Restaurant
627;8,20845E+13;Boulangerie-Pâtisserie
628;8,13207E+13;Boulangerie-Pâtisserie
629;8,08273E+13;Boulangerie-Pâtisserie
630;8,20988E+13;Restaurant
631;8,13549E+13;Boucherie-Charcuterie
632;8,08829E+13;Restaurant
633;8,22205E+13;Boulangerie-Pâtisserie
634;8,14092E+13;_
635;8,08858E+13;Boulangerie-Pâtisserie
636;8,22427E+13;Alimentation générale
637;8,14128E+13;Alimentation générale
638;8,10374E+13;_
639;8,2349E+13;Boucherie-Charcuterie
640;8,14147E+13;Boucherie-Charcuterie
641;8,11253E+13;Restaurant
642;8,23588E+13;Alimentation générale
643;8,14466E+13;Boucherie-Charcuterie
644;8,11292E+13;Restaurant
645;8,23713E+13;Boulangerie-Pâtisserie
646;8,17435E+13;Restaurant
647;8,11385E+13;_
648;8,23795E+13;Restaurant
649;8,18032E+13;Alimentation générale
650;8,11571E+13;Restaurant
651;8,23929E+13;Restaurant
652;8,1841E+13;Boulangerie-Pâtisserie
653;8,11885E+13;Alimentation générale
654;8,24153E+13;Boulangerie-Pâtisserie
655;8,18712E+13;Restaurant
656;8,24241E+13;Restaurant
657;8,19198E+13;Alimentation générale
658;8,11961E+13;Restaurant
659;8,24263E+13;_
660;8,19236E+13;Boulangerie-Pâtisserie
661;8,12928E+13;Alimentation générale
662;8,25237E+13;_
663;8,19793E+13;Traiteur
664;8,13078E+13;Boulangerie-Pâtisserie
665;8,25403E+13;Boulangerie-Pâtisserie
666;8,20344E+13;Restaurant
667;8,13313E+13;Restaurant
668;8,27615E+13;Alimentation générale
669;8,20668E+13;Boulangerie-Pâtisserie
670;8,13564E+13;Boulangerie-Pâtisserie
671;8,27728E+13;Boucherie-Charcuterie
672;8,21091E+13;Restaurant
673;8,14386E+13;Boulangerie-Pâtisserie
674;8,28391E+13;Boulangerie-Pâtisserie
675;8,21288E+13;Restaurant
676;8,14652E+13;_
677;8,28897E+13;Restaurant
678;8,21739E+13;Boulangerie-Pâtisserie
679;8,14706E+13;Restaurant
680;8,28925E+13;Restaurant
681;8,21839E+13;Restaurant
682;8,14772E+13;Boulangerie-Pâtisserie
683;8,2903E+13;Restaurant
684;8,22505E+13;Boulangerie-Pâtisserie
685;8,14875E+13;Restaurant
686;8,29115E+13;Boulangerie-Pâtisserie
687;8,22536E+13;Traiteur
688;8,14891E+13;Boulangerie-Pâtisserie
689;8,29288E+13;Restaurant
690;8,23113E+13;Alimentation générale
691;8,15054E+13;Restaurant
692;8,29329E+13;Restaurant
693;8,23578E+13;Restaurant
694;8,17611E+13;Poissonnerie
695;8,29565E+13;Restaurant
696;8,23585E+13;Restaurant
697;8,17783E+13;_
698;8,30329E+13;Alimentation générale
699;8,23897E+13;Restaurant
700;8,18222E+13;Restaurant
701;8,3048E+13;Boulangerie-Pâtisserie
702;8,24261E+13;Boulangerie-Pâtisserie
703;8,18375E+13;Boulangerie-Pâtisserie
704;8,30801E+13;Boulangerie-Pâtisserie
705;8,27515E+13;Boulangerie-Pâtisserie
